1;2;3;4;5;11
3;4;5;11
7;8;9;10;16;17;23
2;8;14
22;21;27;33;32;31;25
21;27;33;34;28
6;7;8;9
14;20;26;32;31;25
13;14;20;19
20;26;32;31
